video,file,label,original,frame,fold
lbfqksftuo,220_0.png,1,exseruhiuk,220,0
pgehjsocyc,60_0.png,1,sttnfyptum,60,0
qowkhqmzam,90_0.png,1,dxfdovivlw,90,0
rxwqoruisz,160_0.png,1,sttnfyptum,160,0
tkyrsegtdw,40_0.png,1,jytrvwlewz,40,0
osaesqnzgw,180_0.png,1,sttnfyptum,180,0
fnkkqtouoz,290_0.png,1,nweufafotd,290,0
yfzulfwjue,210_0.png,1,qyqufaskjs,210,0
gcphojsohr,240_0.png,1,fsaronfupy,240,0
gyrdgpiygb,30_0.png,1,fufcmupzen,30,0
yoredbmvzx,10_0.png,1,jzupayeuln,10,0
xjpwlxducl,240_0.png,1,apvzjkvnwn,240,0
ysqbnccstr,50_0.png,1,lzbmwwejxb,50,0
gumgvhycum,10_0.png,1,hivnldfvyl,10,0
uraibiaste,210_0.png,1,nweufafotd,210,0
voawxrmqyl,240_0.png,1,hsbwhlolsn,240,0
lbapaexcrc,180_0.png,1,uprwuohbwx,180,0
pqdeutauqc,190_0.png,0,pqdeutauqc,190,0
kkhrtmftlq,90_0.png,1,nhsijqpoda,90,0
whgfvrprxj,120_0.png,1,yljecirelf,120,0
ppmvktsmkc,20_0.png,1,fufcmupzen,20,0
qyqufaskjs,120_0.png,0,qyqufaskjs,120,0
gvlraqlweh,60_0.png,1,rnpefxwptv,60,0
cbzxykepbl,60_0.png,1,fnslimfagb,60,0
hbdvyzpqny,220_0.png,1,lsmnqsnqld,220,0
iodwjkqblp,110_0.png,1,jvtjxreizj,110,0
snjzgkxvym,30_0.png,1,rmufsuogzn,30,0
gozbrlxguv,0_0.png,1,fnslimfagb,0,0
faktmhmtpb,160_0.png,1,rktrpsdlci,160,0
mmhrkzptld,90_0.png,1,jytrvwlewz,90,0
qusnfjluuh,70_0.png,1,qarqtkvgby,70,0
zplyjqnfmv,160_0.png,1,fopjiyxiqd,160,0
embmaestpq,220_0.png,1,jytrvwlewz,220,0
pzzuimgwei,290_0.png,1,upmgtackuf,290,0
fhtmnfeqft,0_0.png,1,fnslimfagb,0,0
vvldcncxda,160_0.png,1,hicjuubiau,160,0
tjdxwdoumt,110_0.png,1,jzupayeuln,110,0
nwdhwzcpoi,30_0.png,1,xugmhbetrw,30,0
qjzzeyijyv,150_0.png,1,yxvmusxvcz,150,0
ztwlbdwyni,30_0.png,1,kqlvggiqee,30,0
lclrhuuwnj,60_0.png,1,fgobmbcami,60,0
bwlxucgxro,80_0.png,1,srfefmyjvt,80,0
fpcncmwzxf,80_0.png,1,fopjiyxiqd,80,0
tnrmnayszi,90_0.png,1,rnpefxwptv,90,0
sqbyylskze,110_0.png,1,uprwuohbwx,110,0
zmndlwmybr,60_0.png,1,uprwuohbwx,60,0
mcllgspbtl,80_0.png,1,nrnklcxdzq,80,0
dhjnjkzuhq,150_0.png,0,dhjnjkzuhq,150,0
vamicuaopj,110_0.png,1,kqlvggiqee,110,0
wkdnagybtb,210_0.png,1,jytrvwlewz,210,0
oobmorozgk,190_0.png,1,hivnldfvyl,190,0
gfcycflhbo,190_0.png,1,wcqvzujamg,190,0
mtfhqqlkgs,240_0.png,1,lzbmwwejxb,240,0
gfknvvudwk,110_0.png,1,dpevefkefv,110,0
awnfpubqmo,150_0.png,1,lnhkjhyhvw,150,0
gfcycflhbo,230_0.png,1,wcqvzujamg,230,0
oibtsgqujh,220_0.png,1,rktrpsdlci,220,0
drlkcilgmc,30_0.png,1,srfefmyjvt,30,0
yjllqhbmke,240_0.png,1,nrnklcxdzq,240,0
opsjddoxui,20_0.png,1,qarqtkvgby,20,0
avoqheikrk,150_0.png,1,hivnldfvyl,150,0
jwkgjrmfxp,100_0.png,1,fnslimfagb,100,0
iafvzgpbix,50_0.png,1,lzbmwwejxb,50,0
xfgdnsbnto,290_0.png,1,xugmhbetrw,290,0
ufaigyxttb,260_0.png,1,fnslimfagb,260,0
apedduehoy,220_0.png,0,apedduehoy,220,0
avznxuwvbx,40_0.png,1,dpevefkefv,40,0
mfodqgnnav,250_0.png,1,knxltsvzyu,250,0
ruvadafqri,230_0.png,1,qarqtkvgby,230,0
rnpefxwptv,70_0.png,0,rnpefxwptv,70,0
euzlhrwolz,150_0.png,1,aayrffkzxn,150,0
osaesqnzgw,40_0.png,1,sttnfyptum,40,0
ifjzcxxvcd,130_0.png,1,wclvkepakb,130,0
hclsparpth,170_0.png,1,onbgbghesu,170,0
sgdiraogcc,210_0.png,1,uprwuohbwx,210,0
jzupayeuln,130_0.png,0,jzupayeuln,130,0
mszblrdprw,0_0.png,1,yexeazbqig,0,0
akpuczgfpk,10_0.png,1,nweufafotd,10,0
roqyiqgwzd,220_0.png,1,rktrpsdlci,220,0
lwqkgvyeas,230_0.png,1,qyqufaskjs,230,0
gnxgiwcknq,20_0.png,1,qarqtkvgby,20,0
ddqtkrkmjn,70_0.png,1,srfefmyjvt,70,0
hcanfkwivl,170_0.png,1,rnpefxwptv,170,0
gbatfzbsjs,60_0.png,1,aayrffkzxn,60,0
juzjntqofi,190_0.png,1,nhsijqpoda,190,0
kpwwhpqfkx,140_0.png,1,fdpisghkmd,140,0
hqcrauawma,130_0.png,1,ybbrkacebd,130,0
pqjlbhkhzr,0_0.png,1,xkfliqnmwt,0,0
doniqevxeg,150_0.png,0,doniqevxeg,150,0
hwcnsgqzld,150_0.png,1,psjfwjzrrh,150,0
ilflslfgbn,260_0.png,1,ucthmsajay,260,0
birmbtezni,170_0.png,1,fzvpbrzssi,170,0
jdfaxqtpjk,50_0.png,1,kqlvggiqee,50,0
yeeceldqpx,220_0.png,1,fsaronfupy,220,0
edqhdckynd,150_0.png,1,lsmnqsnqld,150,0
bjxasekfcx,50_0.png,1,exseruhiuk,50,0
tnwavwcrmn,260_0.png,1,ucthmsajay,260,0
pftrwqispi,80_0.png,1,prdrkaxeob,80,0
jdzgjbqksy,180_0.png,1,srfefmyjvt,180,0
xpzfhhwkwb,290_0.png,1,xmkwsnuzyq,290,0
sylnrepacf,200_0.png,0,sylnrepacf,200,0
atpngxfnhr,290_0.png,1,xugmhbetrw,290,0
gcdtglsoqj,20_1.png,0,gcdtglsoqj,20,0
qyqufaskjs,80_0.png,0,qyqufaskjs,80,0
jdzgjbqksy,230_0.png,1,srfefmyjvt,230,0
ybefzibreb,180_0.png,1,fdpisghkmd,180,0
eppyqpgewp,230_0.png,0,eppyqpgewp,230,0
kstmekinaw,280_0.png,1,pqdeutauqc,280,0
txsyzefnur,290_0.png,1,nweufafotd,290,0
kanuhxwqaa,160_0.png,1,apvzjkvnwn,160,0
vqvmlwhabu,220_0.png,1,psjfwjzrrh,220,0
tszsvitufh,110_0.png,1,sttnfyptum,110,0
ybdtkypwez,120_0.png,1,wynotylpnm,120,0
ptgpqdnxtd,60_0.png,1,hplxtssgnz,60,0
syxobtuucp,190_0.png,0,syxobtuucp,190,0
rwkfxxgkrh,170_0.png,1,xmkwsnuzyq,170,0
ocveomkblt,60_0.png,1,fnslimfagb,60,0
tjywwgftmv,70_0.png,1,syxobtuucp,70,0
dhjnjkzuhq,240_0.png,0,dhjnjkzuhq,240,0
wyqdbqmbjk,20_0.png,1,fzvpbrzssi,20,0
qkzabeimvu,0_0.png,1,fzvpbrzssi,0,0
mszblrdprw,200_0.png,1,yexeazbqig,200,0
mordcwbchi,250_0.png,1,xkfliqnmwt,250,0
mkphymhgbd,10_0.png,1,eiwtggvtfp,10,0
uuexerjsmk,30_0.png,1,jawgcggquk,30,0
tkcuhfhdzs,220_0.png,1,dxfdovivlw,220,0
vgcwxcyiof,220_0.png,1,rktrpsdlci,220,0
qwocosaxwe,160_0.png,1,lnhkjhyhvw,160,0
mfkzoapcqm,160_0.png,1,syxobtuucp,160,0
qcxkxcemcb,280_0.png,1,rmufsuogzn,280,0
htorvhbcae,80_0.png,1,wclvkepakb,80,0
zkarzsylvk,190_0.png,1,dxfdovivlw,190,0
vzockawbyi,180_0.png,1,vpmyeepbep,180,0
hrovzkcyjw,200_0.png,1,ybbrkacebd,200,0
jfvsrcfame,40_0.png,1,wclvkepakb,40,0
whgfvrprxj,210_0.png,1,yljecirelf,210,0
fuiglusbnl,160_0.png,1,rktrpsdlci,160,0
ocveomkblt,170_0.png,1,fnslimfagb,170,0
gqnkarjtmh,10_0.png,1,yxvmusxvcz,10,0
rxpwfcsqum,150_0.png,1,jytrvwlewz,150,0
rdbxcbseek,10_0.png,1,yxvmusxvcz,10,0
vstmxsekmm,10_0.png,1,gvasarkpfh,10,0
obttmvmtvi,120_0.png,1,rktrpsdlci,120,0
embmaestpq,270_0.png,1,jytrvwlewz,270,0
eilfbdisof,50_0.png,1,xmkwsnuzyq,50,0
ovzegelwbu,210_0.png,1,rktrpsdlci,210,0
yajhwipypq,70_0.png,1,hivnldfvyl,70,0
vmdpfyfkwi,150_0.png,1,lnjkpdviqb,150,0
dzlpfpszyv,0_0.png,1,dhjnjkzuhq,0,0
cvboojbsxa,230_0.png,1,xdezcezszc,230,0
